Model_Name,Model_Class,InputLayer,Lambda,Conv2D,Activation,Add,BatchNormalization,DepthwiseConv2D,GlobalAveragePooling2D,Reshape,UpSampling2D,Concatenate,Dropout,ZeroPadding2D,ReLU,MaxPooling2D,AveragePooling2D,Dense,Flatten,SeparableConv2D,Cropping2D,GRU,LSTM,Permute,Multiply,PReLU,LeakyReLU,Conv2DTranspose
img_edsr_48w_48h.h5,Super_Resolution,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,
Deeplabv3plus_mobv2_1920w_1080h.h5,Segmentation,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,
Deeplabv3plus_mobv2_512w_512h.h5,Segmentation,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,
Deeplabv3plus_512w_512h.h5,Segmentation,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,
Deeplabv3plus_mobv2_960w_720h.h5,Segmentation,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,
Deeplabv3_512w_512h.h5,Segmentation,YES,,YES,,YES,YES,,,,YES,YES,,,YES,YES,YES,,,,,,,,,,,
img_pspnet_473w_473h.h5,Segmentation,YES,YES,YES,YES,YES,YES,,,,,YES,YES,YES,,YES,YES,,,,,,,,,,,
ResNet101_224w_224h.h5,Feature_Extraction,YES,,YES,YES,YES,YES,,YES,,,,,YES,,YES,,YES,,,,,,,,,,
ResNext101_224w_224h.h5,Feature_Extraction,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,YES,,YES,,YES,,,,,,,,,,
ResNet50_960w_720h.h5,Feature_Extraction,YES,,YES,YES,YES,YES,,YES,,,,,YES,,YES,,YES,,,,,,,,,,
ResNext50_224w_224h.h5,Feature_Extraction,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,YES,,YES,,YES,,,,,,,,,,
ResNet50_1920w_1080h.h5,Feature_Extraction,YES,,YES,YES,YES,YES,,YES,,,,,YES,,YES,,YES,,,,,,,,,,
ResNet152_224w_224h.h5,Feature_Extraction,YES,,YES,YES,YES,YES,,YES,,,,,YES,,YES,,YES,,,,,,,,,,
Inceptionv4_299w_299h.h5,Feature_Extraction,YES,,YES,YES,,YES,,,,,YES,YES,,,YES,YES,YES,YES,,,,,,,,,
MobileNetv2_960w_720h.h5,Feature_Extraction,YES,,YES,YES,YES,YES,YES,YES,,,,,,YES,,,YES,,,,,,,,,,
MobileNetv2_1920w_1080h.h5,Feature_Extraction,YES,,YES,YES,YES,YES,YES,YES,,,,,,YES,,,YES,,,,,,,,,,
MobileNetv2_224w_224h.h5,Feature_Extraction,YES,,YES,YES,YES,YES,YES,YES,,,,,,YES,,,YES,,,,,,,,,,
NasNet_224w_224h.h5,Feature_Extraction,YES,,YES,YES,YES,YES,,YES,,,YES,YES,YES,,YES,YES,YES,,YES,YES,,,,,,,
Inceptionv3_960w_720h.h5,Feature_Extraction,YES,,YES,YES,,YES,,YES,,,YES,,,,YES,YES,YES,,,,,,,,,,
Inceptionv3_224w_224h.h5,Feature_Extraction,YES,,YES,YES,,YES,,YES,,,YES,,,,YES,YES,YES,,,,,,,,,,
Inceptionv3_1920w_1080h.h5,Feature_Extraction,YES,,YES,YES,,YES,,YES,,,YES,,,,YES,YES,YES,,,,,,,,,,
Inceptionv1_224w_224h.h5,Feature_Extraction,YES,,YES,YES,,,,,,,YES,YES,,,YES,YES,YES,YES,,,,,,,,,
MobileNet_224w_224h.h5,Feature_Extraction,YES,,YES,YES,,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,,,,,,
MobileNet_1920w_1080h.h5,Feature_Extraction,YES,,YES,YES,,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,,,,,,
